group,rank,team,played,wins,draws,losses,goals_for,goals_against,goal_difference,points
1,1,Netherlands,3,2,1,0,5,1,4,7
1,2,Senegal,3,2,0,1,5,4,1,6
1,3,Ecuador,3,1,1,1,4,3,1,4
1,4,Qatar,3,0,0,3,1,7,-6,0
2,1,England,3,2,1,0,9,2,7,7
2,2,United States,3,1,2,0,2,1,1,5
2,3,IR Iran,3,1,0,2,4,7,-3,3
2,4,Wales,3,0,1,2,1,6,-5,1
3,1,Argentina,3,2,0,1,5,2,3,6
3,2,Poland,3,1,1,1,2,2,0,4
3,3,Mexico,3,1,1,1,2,3,-1,4
3,4,Saudi Arabia,3,1,0,2,3,5,-2,3
4,1,France,3,2,0,1,6,3,3,6
4,2,Australia,3,2,0,1,3,4,-1,6
4,3,Tunisia,3,1,1,1,1,1,0,4
4,4,Denmark,3,0,1,2,1,3,-2,1
5,1,Japan,3,2,0,1,4,3,1,6
5,2,Spain,3,1,1,1,9,3,6,4
5,3,Germany,3,1,1,1,6,5,1,4
5,4,Costa Rica,3,1,0,2,3,11,-8,3
6,1,Morocco,3,2,1,0,4,1,3,7
6,2,Croatia,3,1,2,0,4,1,3,5
6,3,Belgium,3,1,1,1,1,2,-1,4
6,4,Canada,3,0,0,3,2,7,-5,0
7,1,Brazil,3,2,0,1,3,1,2,6
7,2,Switzerland,3,2,0,1,4,3,1,6
7,3,Cameroon,3,1,1,1,4,4,0,4
7,4,Serbia,3,0,1,2,5,8,-3,1
8,1,Portugal,3,2,0,1,6,4,2,6
8,2,Korea Republic,3,1,1,1,4,4,0,4
8,3,Uruguay,3,1,1,1,2,2,0,4
8,4,Ghana,3,1,0,2,5,7,-2,3
