match_id,competition_name,season,date,time,home_team_id,away_team_id,home_goals,away_goals,home_shots,away_shots,home_sot,away_sot,home_fouls,away_fouls,home_corners,away_corners,home_yellow,away_yellow,home_red,away_red,venue,referee,goal_difference,total_goals,total_cards,home_shot_accuracy,away_shot_accuracy,result
1,Bundesliga,2022-23,2023-08-18,19:30:00,1,2,0.0,4.0,6.0,25.0,1.0,10.0,16.0,11.0,0.0,6.0,2.0,1.0,0.0,0.0,,,-4.0,4.0,3.0,16.666666666666664,40.0,A
2,Bundesliga,2022-23,2023-08-19,14:30:00,3,4,4.0,4.0,20.0,9.0,8.0,6.0,9.0,14.0,8.0,7.0,1.0,2.0,0.0,0.0,,,0.0,8.0,3.0,40.0,66.66666666666666,D
3,Bundesliga,2022-23,2023-08-19,14:30:00,5,6,1.0,2.0,24.0,17.0,5.0,8.0,9.0,9.0,4.0,2.0,0.0,1.0,0.0,0.0,,,-1.0,3.0,1.0,20.833333333333336,47.05882352941176,A
4,Bundesliga,2022-23,2023-08-19,14:30:00,7,8,3.0,2.0,11.0,13.0,7.0,6.0,13.0,10.0,4.0,5.0,1.0,2.0,0.0,0.0,,,1.0,5.0,3.0,63.63636363636363,46.15384615384615,H
5,Bundesliga,2022-23,2023-08-19,14:30:00,9,10,5.0,0.0,19.0,4.0,9.0,1.0,5.0,12.0,7.0,0.0,1.0,1.0,0.0,0.0,,,5.0,5.0,2.0,47.368421052631575,25.0,H
6,Bundesliga,2022-23,2023-08-19,14:30:00,11,12,2.0,0.0,18.0,13.0,8.0,1.0,10.0,9.0,1.0,7.0,3.0,0.0,0.0,0.0,,,2.0,2.0,3.0,44.44444444444444,7.6923076923076925,H
7,Bundesliga,2022-23,2023-08-19,17:30:00,13,14,1.0,0.0,12.0,11.0,2.0,4.0,13.0,11.0,6.0,3.0,1.0,0.0,0.0,0.0,,,1.0,1.0,1.0,16.666666666666664,36.36363636363637,H
8,Bundesliga,2022-23,2023-08-20,14:30:00,15,16,4.0,1.0,12.0,9.0,7.0,3.0,15.0,16.0,3.0,1.0,1.0,5.0,0.0,0.0,,,3.0,5.0,6.0,58.333333333333336,33.33333333333333,H
9,Bundesliga,2022-23,2023-08-20,16:30:00,17,18,1.0,0.0,10.0,11.0,4.0,2.0,9.0,14.0,7.0,3.0,2.0,3.0,0.0,0.0,,,1.0,1.0,5.0,40.0,18.181818181818183,H
10,Bundesliga,2022-23,2023-08-25,19:30:00,8,9,5.0,1.0,20.0,8.0,11.0,3.0,12.0,10.0,4.0,4.0,1.0,1.0,0.0,0.0,,,4.0,6.0,2.0,55.00000000000001,37.5,H
11,Bundesliga,2022-23,2023-08-26,14:30:00,10,13,1.0,1.0,17.0,13.0,6.0,3.0,21.0,7.0,5.0,4.0,2.0,1.0,0.0,0.0,,,0.0,2.0,3.0,35.294117647058826,23.076923076923077,D
12,Bundesliga,2022-23,2023-08-26,14:30:00,18,15,1.0,4.0,18.0,12.0,6.0,6.0,15.0,12.0,3.0,5.0,2.0,2.0,0.0,1.0,,,-3.0,5.0,5.0,33.33333333333333,50.0,A
13,Bundesliga,2022-23,2023-08-26,14:30:00,14,11,1.0,2.0,14.0,9.0,2.0,6.0,6.0,10.0,6.0,1.0,1.0,5.0,0.0,0.0,,,-1.0,3.0,6.0,14.285714285714285,66.66666666666666,A
14,Bundesliga,2022-23,2023-08-26,14:30:00,6,1,1.0,0.0,23.0,16.0,6.0,2.0,9.0,8.0,5.0,5.0,2.0,2.0,0.0,0.0,,,1.0,1.0,4.0,26.08695652173913,12.5,H
15,Bundesliga,2022-23,2023-08-26,14:30:00,12,5,2.0,3.0,19.0,16.0,9.0,6.0,13.0,9.0,10.0,6.0,1.0,5.0,0.0,0.0,,,-1.0,5.0,6.0,47.368421052631575,37.5,A
16,Bundesliga,2022-23,2023-08-26,17:30:00,4,7,0.0,3.0,13.0,24.0,2.0,10.0,7.0,8.0,5.0,8.0,2.0,3.0,0.0,0.0,,,-3.0,3.0,5.0,15.384615384615385,41.66666666666667,A
17,Bundesliga,2022-23,2023-08-27,14:30:00,16,17,1.0,1.0,13.0,8.0,7.0,2.0,23.0,12.0,5.0,4.0,3.0,4.0,0.0,1.0,,,0.0,2.0,8.0,53.84615384615385,25.0,D
18,Bundesliga,2022-23,2023-08-27,16:30:00,2,3,3.0,1.0,19.0,11.0,6.0,2.0,13.0,8.0,10.0,4.0,1.0,2.0,0.0,0.0,,,2.0,4.0,3.0,31.57894736842105,18.181818181818183,H
19,Bundesliga,2022-23,2023-09-01,19:30:00,13,12,2.0,2.0,20.0,15.0,9.0,6.0,9.0,22.0,3.0,6.0,3.0,3.0,0.0,0.0,,,0.0,4.0,6.0,45.0,40.0,D
20,Bundesliga,2022-23,2023-09-02,14:30:00,3,10,2.0,2.0,11.0,22.0,3.0,9.0,15.0,13.0,3.0,5.0,2.0,2.0,0.0,0.0,,,0.0,4.0,4.0,27.27272727272727,40.909090909090914,D
21,Bundesliga,2022-23,2023-09-02,14:30:00,5,11,3.0,1.0,11.0,14.0,5.0,7.0,12.0,15.0,3.0,3.0,2.0,2.0,0.0,0.0,,,2.0,4.0,4.0,45.45454545454545,50.0,H
22,Bundesliga,2022-23,2023-09-02,14:30:00,7,18,5.0,1.0,24.0,5.0,13.0,1.0,8.0,11.0,4.0,2.0,3.0,2.0,0.0,0.0,,,4.0,6.0,5.0,54.166666666666664,20.0,H
23,Bundesliga,2022-23,2023-09-02,14:30:00,9,6,5.0,0.0,13.0,11.0,6.0,5.0,9.0,10.0,2.0,4.0,1.0,1.0,0.0,0.0,,,5.0,5.0,2.0,46.15384615384615,45.45454545454545,H
24,Bundesliga,2022-23,2023-09-02,14:30:00,1,16,4.0,0.0,12.0,12.0,6.0,3.0,18.0,14.0,1.0,7.0,2.0,2.0,0.0,0.0,,,4.0,4.0,4.0,50.0,25.0,H
25,Bundesliga,2022-23,2023-09-02,17:30:00,4,2,1.0,2.0,8.0,25.0,3.0,9.0,5.0,20.0,1.0,15.0,0.0,2.0,0.0,0.0,,,-1.0,3.0,2.0,37.5,36.0,A
26,Bundesliga,2022-23,2023-09-03,14:30:00,17,14,1.0,1.0,12.0,6.0,4.0,2.0,10.0,10.0,8.0,1.0,1.0,3.0,0.0,0.0,,,0.0,2.0,4.0,33.33333333333333,33.33333333333333,D
27,Bundesliga,2022-23,2023-09-03,16:30:00,15,8,0.0,3.0,4.0,15.0,1.0,8.0,16.0,9.0,3.0,7.0,3.0,1.0,1.0,0.0,,,-3.0,3.0,5.0,25.0,53.333333333333336,A
28,Bundesliga,2022-23,2023-09-15,19:30:00,2,7,2.0,2.0,15.0,12.0,9.0,5.0,6.0,6.0,7.0,4.0,0.0,3.0,0.0,0.0,,,0.0,4.0,3.0,60.0,41.66666666666667,D
29,Bundesliga,2022-23,2023-09-16,14:30:00,14,5,1.0,3.0,17.0,17.0,7.0,5.0,15.0,14.0,13.0,4.0,4.0,4.0,1.0,0.0,,,-2.0,4.0,9.0,41.17647058823529,29.411764705882355,A
30,Bundesliga,2022-23,2023-09-16,14:30:00,6,13,2.0,4.0,14.0,14.0,4.0,6.0,12.0,16.0,6.0,8.0,2.0,3.0,1.0,0.0,,,-2.0,6.0,6.0,28.57142857142857,42.857142857142854,A
