group,rank,team,played,wins,draws,losses,goals_for,goals_against,goal_difference,points,win_percentage,points_per_game,goals_per_game,clean_sheets
1,1,Netherlands,3,2,1,0,5,1,4,7,66.66666666666666,2.3333333333333335,1.6666666666666667,3
1,2,Senegal,3,2,0,1,5,4,1,6,66.66666666666666,2.0,1.6666666666666667,2
1,3,Ecuador,3,1,1,1,4,3,1,4,33.33333333333333,1.3333333333333333,1.3333333333333333,2
1,4,Qatar,3,0,0,3,1,7,-6,0,0.0,0.0,0.3333333333333333,0
2,1,England,3,2,1,0,9,2,7,7,66.66666666666666,2.3333333333333335,3.0,3
2,2,United States,3,1,2,0,2,1,1,5,33.33333333333333,1.6666666666666667,0.6666666666666666,3
2,3,IR Iran,3,1,0,2,4,7,-3,3,33.33333333333333,1.0,1.3333333333333333,1
2,4,Wales,3,0,1,2,1,6,-5,1,0.0,0.3333333333333333,0.3333333333333333,1
3,1,Argentina,3,2,0,1,5,2,3,6,66.66666666666666,2.0,1.6666666666666667,2
3,2,Poland,3,1,1,1,2,2,0,4,33.33333333333333,1.3333333333333333,0.6666666666666666,2
3,3,Mexico,3,1,1,1,2,3,-1,4,33.33333333333333,1.3333333333333333,0.6666666666666666,2
3,4,Saudi Arabia,3,1,0,2,3,5,-2,3,33.33333333333333,1.0,1.0,1
4,1,France,3,2,0,1,6,3,3,6,66.66666666666666,2.0,2.0,2
4,2,Australia,3,2,0,1,3,4,-1,6,66.66666666666666,2.0,1.0,2
4,3,Tunisia,3,1,1,1,1,1,0,4,33.33333333333333,1.3333333333333333,0.3333333333333333,2
4,4,Denmark,3,0,1,2,1,3,-2,1,0.0,0.3333333333333333,0.3333333333333333,1
5,1,Japan,3,2,0,1,4,3,1,6,66.66666666666666,2.0,1.3333333333333333,2
5,2,Spain,3,1,1,1,9,3,6,4,33.33333333333333,1.3333333333333333,3.0,2
5,3,Germany,3,1,1,1,6,5,1,4,33.33333333333333,1.3333333333333333,2.0,2
5,4,Costa Rica,3,1,0,2,3,11,-8,3,33.33333333333333,1.0,1.0,1
6,1,Morocco,3,2,1,0,4,1,3,7,66.66666666666666,2.3333333333333335,1.3333333333333333,3
6,2,Croatia,3,1,2,0,4,1,3,5,33.33333333333333,1.6666666666666667,1.3333333333333333,3
6,3,Belgium,3,1,1,1,1,2,-1,4,33.33333333333333,1.3333333333333333,0.3333333333333333,2
6,4,Canada,3,0,0,3,2,7,-5,0,0.0,0.0,0.6666666666666666,0
7,1,Brazil,3,2,0,1,3,1,2,6,66.66666666666666,2.0,1.0,2
7,2,Switzerland,3,2,0,1,4,3,1,6,66.66666666666666,2.0,1.3333333333333333,2
7,3,Cameroon,3,1,1,1,4,4,0,4,33.33333333333333,1.3333333333333333,1.3333333333333333,2
7,4,Serbia,3,0,1,2,5,8,-3,1,0.0,0.3333333333333333,1.6666666666666667,1
8,1,Portugal,3,2,0,1,6,4,2,6,66.66666666666666,2.0,2.0,2
8,2,Korea Republic,3,1,1,1,4,4,0,4,33.33333333333333,1.3333333333333333,1.3333333333333333,2
8,3,Uruguay,3,1,1,1,2,2,0,4,33.33333333333333,1.3333333333333333,0.6666666666666666,2
8,4,Ghana,3,1,0,2,5,7,-2,3,33.33333333333333,1.0,1.6666666666666667,1
