player_id,team_id,player,team,position,age,minutes,games,goals,assists,shots,shots_on_target,passes_completed,passes,passes_pct,tackles,interceptions,clearances,touches,dispossessed,xg,xg_assist
1,114,Aaron Mooy,Australia,MF,,4,4,0,0,,0,170.0,217.0,78.3,9.0,3,9.0,255.0,4.0,0.0,
2,106,Aaron Ramsey,Wales,MF,,3,3,0,0,,0,88.0,112.0,78.6,2.0,0,2.0,147.0,4.0,0.0,
3,115,Abdelhamid Sabiri,Morocco,MF,,2,5,0,1,,0,45.0,58.0,77.6,3.0,5,3.0,86.0,3.0,0.1,
4,99,Abdelkarim Hassan,Qatar,DF,,3,3,0,0,,0,122.0,161.0,75.8,7.0,1,5.0,193.0,0.0,0.3,
5,115,Abderrazak Hamdallah,Morocco,FW,,0,4,0,0,,1,8.0,15.0,53.3,0.0,0,2.0,28.0,3.0,0.4,
6,115,Abdessamad Ezzalzouli,Morocco,FW,,1,3,0,0,,0,10.0,13.0,76.9,3.0,0,3.0,40.0,1.0,0.1,
7,103,Abdou Diallo,Senegal,DF,,3,4,0,0,,0,139.0,186.0,74.7,2.0,1,10.0,210.0,2.0,0.0,
8,128,Abdul Fatawu Issahaku,Ghana,FW,,0,1,0,0,,0,1.0,1.0,100.0,0.0,0,0.0,2.0,0.0,0.0,
9,99,Abdulaziz Hatem,Qatar,MF,,2,3,0,0,,1,72.0,91.0,79.1,1.0,1,0.0,98.0,1.0,0.0,
10,108,Abdulelah Al-Amri,Saudi Arabia,DF,,2,3,0,0,,0,74.0,104.0,71.2,1.0,4,10.0,129.0,0.0,0.1,
11,108,Abdulellah Al-Malki,Saudi Arabia,MF,,1,2,0,0,,0,66.0,84.0,78.6,3.0,2,4.0,105.0,0.0,0.1,
12,108,Abdullah Madu,Saudi Arabia,DF,,0,1,0,0,,0,5.0,13.0,38.5,1.0,0,2.0,19.0,0.0,0.0,
13,108,Abdulrahman Al-Aboud,Saudi Arabia,MF,,0,2,0,0,,0,8.0,13.0,61.5,3.0,0,0.0,22.0,0.0,0.1,
14,102,Abolfazl Jalali,IR Iran,DF,,0,1,0,0,,0,20.0,29.0,69.0,0.0,0,1.0,34.0,1.0,0.0,
