player_id,player_name,team_id,team_name,position,age
1,Aaron Mooy,114,Australia,MF,
2,Aaron Ramsey,106,Wales,MF,
3,Abdelhamid Sabiri,115,Morocco,MF,
4,Abdelkarim Hassan,99,Qatar,DF,
5,Abderrazak Hamdallah,115,Morocco,FW,
6,Abdessamad Ezzalzouli,115,Morocco,FW,
7,Abdou Diallo,103,Senegal,DF,
8,Abdul Fatawu Issahaku,128,Ghana,FW,
9,Abdulaziz Hatem,99,Qatar,MF,
10,Abdulelah Al-Amri,108,Saudi Arabia,DF,
11,Abdulellah Al-Malki,108,Saudi Arabia,MF,
12,Abdullah Madu,108,Saudi Arabia,DF,
13,Abdulrahman Al-Aboud,108,Saudi Arabia,MF,
14,Abolfazl Jalali,102,IR Iran,DF,
15,Achraf Dari,115,Morocco,DF,
16,Achraf Hakimi,115,Morocco,DF,
17,Adrien Rabiot,113,France,MF,
18,Agustín Canobbio,125,Uruguay,MF,
19,Ahmad Nourollahi,102,IR Iran,MF,
20,Ahmed Alaaeldin,99,Qatar,FW,
21,Aimen Dahmen,110,Tunisia,GK,
22,Ajdin Hrustic,114,Australia,MF,
23,Akram Afif,99,Qatar,FW,
24,Alan Franco,100,Ecuador,MF,
25,Alejandro Balde,119,Spain,DF,
26,Aleksandar Mitrović,130,Serbia,FW,
27,Alex Sandro,129,Brazil,DF,
28,Alex Telles,129,Brazil,DF,
29,Alexander Bah,109,Denmark,DF,
30,Alexander Djiku,128,Ghana,DF,
31,Alexis Mac Allister,107,Argentina,MF,
32,Alexis Vega,111,Mexico,FW,
33,Ali Abdi,110,Tunisia,DF,
34,Ali Al Hassan,108,Saudi Arabia,MF,
35,Ali Al-Bulaihi,108,Saudi Arabia,DF,
36,Ali Assadalla,99,Qatar,MF,
37,Ali Gholizadeh,102,IR Iran,MF,
38,Ali Karimi,102,IR Iran,MF,
39,Ali Maâloul,110,Tunisia,DF,
40,Alidu Seidu,128,Ghana,DF,
41,Alireza Beiranvand,102,IR Iran,GK,
42,Alireza Jahanbakhsh,102,IR Iran,MF,
43,Alisson,129,Brazil,GK,
44,Alistair Johnston,122,Canada,DF,
45,Almoez Ali,99,Qatar,FW,
46,Alphonso Davies,122,Canada,MF,
47,Amadou Onana,121,Belgium,MF,
48,Anass Zaroury,115,Morocco,FW,
49,Andre-Frank Zambo Anguissa,124,Cameroon,MF,
50,Andreas Christensen,109,Denmark,DF,
51,Andreas Cornelius,109,Denmark,FW,
52,Andreas Skov Olsen,109,Denmark,FW,
53,Andrej Kramarić,116,Croatia,FW,
54,Andries Noppert,104,Netherlands,GK,
55,Andrija Živković,130,Serbia,DF,
56,André Ayew,128,Ghana,MF,
57,André Onana,124,Cameroon,GK,
58,André Silva,127,Portugal,FW,
59,Andrés Guardado,111,Mexico,MF,
60,Anis Ben Slimane,110,Tunisia,MF,
61,Ansu Fati,119,Spain,FW,
62,Ante Budimir,116,Croatia,FW,
63,Anthony Contreras,120,Costa Rica,FW,
64,Antoine Griezmann,113,France,MF,
65,Antoine Semenyo,128,Ghana,FW,
66,Antonee Robinson,105,United States,DF,
67,Antonio Rüdiger,117,Germany,DF,
68,Antony,129,Brazil,FW,
69,António Silva,127,Portugal,DF,
70,Ao Tanaka,118,Japan,MF,
71,Ardon Jasari,123,Switzerland,FW,
72,Arkadiusz Milik,112,Poland,FW,
73,Artur Jędrzejczyk,112,Poland,DF,
74,Asiri Haitham,108,Saudi Arabia,FW,
75,Assim Madibo,99,Qatar,MF,
76,Atiba Hutchinson,122,Canada,MF,
77,Aurélien Tchouaméni,113,France,MF,
78,Awer Mabil,114,Australia,MF,
79,Axel Disasi,113,France,DF,
80,Axel Witsel,121,Belgium,MF,
81,Ayase Ueda,118,Japan,FW,
82,Aymeric Laporte,119,Spain,DF,
83,Aziz Behich,114,Australia,DF,
84,Azzedine Ounahi,115,Morocco,MF,
85,Aïssa Laïdouni,110,Tunisia,MF,
86,Baba Rahman,128,Ghana,DF,
87,Badr Banoun,115,Morocco,DF,
88,Bailey Wright,114,Australia,DF,
89,Bamba Dieng,103,Senegal,FW,
90,Bartosz Bereszyński,112,Poland,DF,
91,Bassam Al-Rawi,99,Qatar,DF,
92,Ben Davies,106,Wales,DF,
93,Benjamin Pavard,113,France,DF,
94,Bernardo Silva,127,Portugal,MF,
95,Bilal El Khannous,115,Morocco,MF,
96,Borna Barišić,116,Croatia,DF,
97,Borna Sosa,116,Croatia,DF,
98,Boualem Khoukhi,99,Qatar,DF,
99,Boulaye Dia,103,Senegal,FW,
100,Brandon Aguilera,120,Costa Rica,MF,
101,Breel Embolo,123,Switzerland,FW,
102,Brenden Aaronson,105,United States,MF,
103,Brennan Johnson,106,Wales,FW,
104,Bruno Fernandes,127,Portugal,FW,
105,Bruno Guimarães,129,Brazil,MF,
106,Bruno Petković,116,Croatia,FW,
107,Bryan Mbeumo,124,Cameroon,FW,
108,Bryan Oviedo,120,Costa Rica,DF,
109,Bryan Ruiz,120,Costa Rica,MF,
110,Bukayo Saka,101,England,FW,
111,Callum Wilson,101,England,FW,
112,Cameron Carter-Vickers,105,United States,DF,
113,Carlos Gruezo,100,Ecuador,MF,
114,Carlos Martínez,120,Costa Rica,DF,
115,Carlos Soler,119,Spain,MF,
116,Casemiro,129,Brazil,MF,
117,Celso Borges,120,Costa Rica,MF,
118,Charles De Ketelaere,121,Belgium,FW,
119,Charly Rodríguez,111,Mexico,MF,
120,Cheikhou Kouyaté,103,Senegal,MF,
121,Cho Guesung,126,Korea Republic,FW,
122,Cho Yumin,126,Korea Republic,FW,
123,Chris Mepham,106,Wales,DF,
124,Christian Bassogog,124,Cameroon,MF,
125,Christian Eriksen,109,Denmark,MF,
126,Christian Fassnacht,123,Switzerland,FW,
127,Christian Nørgaard,109,Denmark,MF,
128,Christian Pulisic,105,United States,FW,
129,Christopher Wooh,124,Cameroon,DF,
130,Cody Gakpo,104,Netherlands,FW,
131,Collins Fai,124,Cameroon,DF,
132,Connor Roberts,106,Wales,DF,
133,Craig Goodwin,114,Australia,MF,
134,Cristian Romero,107,Argentina,DF,
135,Cristiano Ronaldo,127,Portugal,FW,
136,Cyle Larin,122,Canada,FW,
137,César Azpilicueta,119,Spain,DF,
138,César Montes,111,Mexico,DF,
139,Daichi Kamada,118,Japan,FW,
140,Daizen Maeda,118,Japan,FW,
141,Daley Blind,104,Netherlands,DF,
142,Damian Szymański,112,Poland,MF,
143,Dani Alves,129,Brazil,DF,
144,Dani Carvajal,119,Spain,DF,
145,Dani Olmo,119,Spain,FW,
146,Daniel Amartey,128,Ghana,DF,
147,Daniel Chacón,120,Costa Rica,MF,
148,Daniel James,106,Wales,FW,
149,Daniel Kyereh,128,Ghana,MF,
150,Danilo,129,Brazil,DF,
151,Danilo Pereira,127,Portugal,DF,
152,Danny Ward,106,Wales,GK,
153,Darko Lazović,130,Serbia,DF,
154,Darwin Núñez,125,Uruguay,FW,
155,David Raum,117,Germany,DF,
156,David Wotherspoon,122,Canada,MF,
157,Davy Klaassen,104,Netherlands,MF,
158,Dayot Upamecano,113,France,DF,
159,DeAndre Yedlin,105,United States,DF,
160,Declan Rice,101,England,MF,
161,Dejan Lovren,116,Croatia,DF,
162,Denis Odoi,128,Ghana,DF,
163,Denis Zakaria,123,Switzerland,MF,
164,Denzel Dumfries,104,Netherlands,DF,
165,Devis Epassy,124,Cameroon,GK,
166,Diego Godín,125,Uruguay,DF,
167,Diogo Costa,127,Portugal,GK,
168,Diogo Dalot,127,Portugal,DF,
169,Djibril Sow,123,Switzerland,MF,
170,Djorkaeff Reasco,100,Ecuador,FW,
171,Dominik Livaković,116,Croatia,GK,
172,Dries Mertens,121,Belgium,MF,
173,Dušan Tadić,130,Serbia,MF,
174,Dušan Vlahović,130,Serbia,FW,
175,Dylan Bronn,110,Tunisia,DF,
176,Eden Hazard,121,Belgium,MF,
177,Ederson,129,Brazil,GK,
178,Edimilson Fernandes,123,Switzerland,FW,
179,Edinson Cavani,125,Uruguay,FW,
180,Edouard Mendy,103,Senegal,GK,
181,Edson Álvarez,111,Mexico,MF,
182,Eduardo Camavinga,113,France,DF,
183,Ehsan Hajsafi,102,IR Iran,MF,
184,Ellyes Skhiri,110,Tunisia,MF,
185,Emiliano Martínez,107,Argentina,GK,
186,Enner Valencia,100,Ecuador,FW,
187,Enzo Ebosse,124,Cameroon,DF,
188,Enzo Fernández,107,Argentina,MF,
189,Eray Cömert,123,Switzerland,DF,
190,Eric Dier,101,England,DF,
191,Eric Maxim Choupo-Moting,124,Cameroon,FW,
192,Erick Gutiérrez,111,Mexico,MF,
193,Ethan Ampadu,106,Wales,MF,
194,Everton Ribeiro,129,Brazil,MF,
195,Exequiel Palacios,107,Argentina,MF,
196,Fabian Frei,123,Switzerland,MF,
197,Fabian Rieder,123,Switzerland,FW,
198,Fabian Schär,123,Switzerland,DF,
199,Fabinho,129,Brazil,MF,
200,Facundo Pellistri,125,Uruguay,MF,
201,Famara Diedhiou,103,Senegal,FW,
202,Federico Valverde,125,Uruguay,MF,
203,Ferjani Sassi,110,Tunisia,MF,
204,Ferrán Torres,119,Spain,FW,
205,Filip Kostić,130,Serbia,DF,
206,Filip Mladenović,130,Serbia,DF,
207,Filip Đuričić,130,Serbia,MF,
208,Firas Al-Buraikan,108,Saudi Arabia,MF,
209,Fodé Ballo-Touré,103,Senegal,DF,
210,Fran Karačić,114,Australia,DF,
211,Francisco Calvo,120,Costa Rica,DF,
212,Fred,129,Brazil,MF,
213,Frenkie de Jong,104,Netherlands,MF,
214,Félix Torres Caicedo,100,Ecuador,DF,
215,Gabriel Jesus,129,Brazil,FW,
216,Garang Kuol,114,Australia,FW,
217,Gareth Bale,106,Wales,FW,
218,Gavi,119,Spain,MF,
219,Gaël Ondoua,124,Cameroon,MF,
220,Georges-Kévin N'Koudou,124,Cameroon,FW,
221,Germán Pezzella,107,Argentina,DF,
